y_test,result,model
10.3,16.79564103,RF
19.5,17.45384615,RF
9,11.90179487,RF
38,27.36820513,RF
5.3,16.41717949,RF
15.1,20.92487179,RF
20.8,27.97384615,RF
21.8,31.28282051,RF
35.2,41.1774359,RF
7.9,16.87358974,RF
36.4,39.35923077,RF
11.2,24.38820513,RF
25.4,11.28948718,RF
9.9,9.858461538,RF
38,23.90897436,RF
18.3,20.15102564,RF
14.7,14.17076923,RF
8.2,17.9674359,RF
23.5,18.91538462,RF
26.9,27.01717949,RF
44.6,38.05538462,RF
33.3,17.37717949,RF
3.6,19.34153846,RF
21.8,19.98923077,RF
11.7,18.42487179,RF
20.3,17.00128205,RF
3.4,12.88333333,RF
12.2,12.05512821,RF
14.7,30.18923077,RF
48.3,13.76333333,RF
55.1,34.62,RF
17.2,17.79307692,RF
12.2,16.65282051,RF
13.2,16.51666667,RF
21.1,15.43512821,RF
13,23.80974359,RF
14.1,16.17461538,RF
8.1,7.278205128,RF
27.4,20.62897436,RF
16.8,17.81205128,RF
8.2,12.6574359,RF
14.7,17.09307692,RF
19.8,14.74435897,RF
12.6,18.30538462,RF
12.1,20.8825641,RF
17.9,41.25512821,RF
37.4,28.88769231,RF
13.9,14.16487179,RF
16.2,18.81769231,RF
27.4,29.88153846,RF
10.9,13.33820513,RF
20.1,18.72948718,RF
11.8,18.3025641,RF
10.5,10.68128205,RF
11.2,32.77333333,RF
19,25.66230769,RF
10.6,16.56461538,RF
20.2,33.90461538,RF
8.8,11.97025641,RF
24.7,16.87410256,RF
38.2,41.90025641,RF
13.8,22.11358974,RF
16.5,31.38564103,RF
55.5,31.56641026,RF
19.8,17.81461538,RF
10.1,14.25692308,RF
14.8,12.69717949,RF
8.7,11.7225641,RF
56.5,41.73871795,RF
13.1,11.80461538,RF
7.2,20.30538462,RF
22.5,24.50128205,RF
31.6,16.65435897,RF
4.7,9.876666667,RF
11.3,22.92,RF
27.2,20.61615385,RF
33.4,15.00538462,RF
11.7,24.03025641,RF
30.9,27.97,RF
11.8,16.60897436,RF
49.3,29.83051282,RF
7.2,13.88871795,RF
66.7,40.17435897,RF
36.9,30.28076923,RF
16,27.57230769,RF
14.7,28.41076923,RF
14.2,20.95461538,RF
11.1,15.10641026,RF
23,29.81487179,RF
11.9,17.47487179,RF
7.4,27.70179487,RF
13.7,18.58589744,RF
8.1,12.70128205,RF
18.8,17.43435897,RF
31.4,40.35512821,RF
43.8,40.18512821,RF
24.6,18.65333333,RF
48.8,18.45128205,RF
53.2,33.76897436,RF
8.8,16.49410256,RF
22.6,21.25,RF
21.1,21.73666667,RF
6.4,12.61846154,RF
11.8,19.252691,BPNN
13.1,19.741121,BPNN
14,17.558796,BPNN
47.2,15.397876,BPNN
16.4,11.125585,BPNN
7.9,13.0199,BPNN
